+----------新的日志片段----------+
日志系统已上线，欢迎使用MulNX

[2026-06-30 12:27:47.8826990][成功][CS2Injector] 核心就绪    (Core.cpp:17)
[2026-06-30 12:27:47.8827360][成功][Driver] 驱动就绪    (Driver.cpp:9)
[2026-06-30 12:27:47.8828150][成功][ModuleManager] sys.msg.async.subedModuleManager/ModuleInfo/Request    (MsgMixin.hpp:25)
[2026-06-30 12:27:47.8828240][提示][ModuleManager] module.send_task    (TaskMixin.hpp:23)
[2026-06-30 12:27:47.8828390][成功][ModuleManager] module.inited    (Module.hpp:25)
[2026-06-30 12:27:47.8828770][成功][IPCer] module.inited    (Module.hpp:25)
[2026-06-30 12:27:47.8832240][提示][PathManager] 检测到共享目录已创建：C:\Users\lenovo\Desktop\核心科技\MulNX_CS2\bin\MulNX\Config    (PathManager.cpp:39)
[2026-06-30 12:27:47.8832660][提示][PathManager] 检测到共享目录已创建：C:\Users\lenovo\Desktop\核心科技\MulNX_CS2\bin\MulNX\Log    (PathManager.cpp:39)
[2026-06-30 12:27:47.8833030][提示][PathManager] 检测到共享目录已创建：C:\Users\lenovo\Desktop\核心科技\MulNX_CS2\bin\MulNX\Vedios    (PathManager.cpp:39)
[2026-06-30 12:27:47.8833370][提示][PathManager] 检测到共享目录已创建：C:\Users\lenovo\Desktop\核心科技\MulNX_CS2\bin\MulNX\Data    (PathManager.cpp:39)
[2026-06-30 12:27:47.8833720][提示][PathManager] 检测到共享目录已创建：C:\Users\lenovo\Desktop\核心科技\MulNX_CS2\bin\MulNX\Output    (PathManager.cpp:39)
[2026-06-30 12:27:47.8834740][成功][PathManager] module.inited    (Module.hpp:25)
[2026-06-30 12:27:47.8836570][成功][CrashDumper] module.inited    (Module.hpp:25)
[2026-06-30 12:27:47.8957910][成功][I18nManager] 语言文件加载成功：C:\Users\lenovo\Desktop\核心科技\MulNX_CS2\bin\MulNX\Config\lan.yaml    (I18nManager.cpp:18)
[2026-06-30 12:27:47.8958050][成功][I18nManager] 共加载键值对：201    (I18nManager.cpp:19)
[2026-06-30 12:27:47.8963920][成功][I18nManager] 初始化成功！    (Module.hpp:25)
[2026-06-30 12:27:47.8964460][成功][MessageManager] 初始化成功！    (Module.hpp:25)
[2026-06-30 12:27:47.8964940][成功][UICoordinator] 异步消息订阅：UISystem/ModulePush    (MsgMixin.hpp:25)
[2026-06-30 12:27:47.8964990][成功][UICoordinator] 异步消息订阅：UINode/Swap    (MsgMixin.hpp:25)
[2026-06-30 12:27:47.8965160][提示][UICoordinator] 将UI节点注册信息推送到了消息系统    (UIMixin.hpp:35)
[2026-06-30 12:27:47.8965180][成功][UICoordinator] 初始化成功！    (Module.hpp:25)
